CustomerID,InvoiceDate,Recency,Frequency,Monetary,KMeans_Cluster,Hier_Cluster,DBSCAN_Cluster,Customer_Quality
12441,2010-08-12 10:45:00,486,1,173.55,1,2,1,Medium-Value
12442,2011-06-12 14:22:00,182,1,172.06,1,2,1,Medium-Value
12444,2011-12-10 12:08:00,1,2,1636.08,0,2,2,Low-Value
12447,2011-10-04 13:25:00,68,1,476.49,1,2,1,Medium-Value
12449,2011-09-09 09:13:00,93,3,2724.58,0,2,0,High-Value
12450,2011-06-07 14:41:00,187,1,96.0,1,2,1,Medium-Value
12451,2011-05-10 12:52:00,215,2,4927.87,0,2,4,Churn Risk
12455,2011-06-07 13:18:00,187,3,477.46000000000004,1,2,0,High-Value
12457,2011-04-10 13:13:00,245,1,196.35,1,2,1,Medium-Value
12461,2011-08-07 10:23:00,126,2,826.88,1,2,4,Churn Risk
12462,2011-09-02 14:44:00,100,1,762.11,1,2,1,Medium-Value
12463,2011-12-04 12:47:00,7,1,350.57,1,2,5,New Customers
12464,2011-03-02 13:30:00,284,1,213.89999999999998,1,2,1,Medium-Value
12468,2011-05-06 11:36:00,219,1,508.95000000000005,1,2,1,Medium-Value
12471,2011-07-12 15:43:00,152,12,10309.97,0,0,-1,Noise/Outlier
12472,2011-07-11 14:01:00,153,2,1899.38,1,2,4,Churn Risk
12473,2011-10-11 13:46:00,61,3,1726.51,0,2,0,High-Value
12474,2011-12-07 10:25:00,4,3,1179.64,0,2,3,Potential
12476,2011-05-05 17:13:00,220,1,311.2,1,2,1,Medium-Value
12477,2011-11-02 12:45:00,39,2,3415.19,0,2,4,Churn Risk
12478,2011-06-12 09:56:00,182,1,680.99,1,2,1,Medium-Value
12480,2011-11-11 14:52:00,30,2,1952.93,0,2,4,Churn Risk
12481,2011-07-01 10:32:00,163,3,2070.23,0,2,0,High-Value
12483,2011-11-05 09:42:00,36,4,1185.46,0,2,0,High-Value
12484,2011-07-11 11:37:00,153,3,2017.24,0,2,0,High-Value
12489,2011-07-01 13:13:00,163,1,334.93,1,2,1,Medium-Value
12490,2011-09-05 09:47:00,97,4,2463.06,0,2,0,High-Value
12491,2011-01-11 12:18:00,334,1,460.40000000000003,1,2,1,Medium-Value
12492,2011-07-10 15:15:00,154,1,136.82,1,2,1,Medium-Value
12494,2011-01-07 12:17:00,338,2,210.82,1,2,4,Churn Risk
12500,2011-10-01 09:48:00,71,3,745.03,0,2,0,High-Value
12501,2011-07-01 12:28:00,163,1,2169.39,1,2,1,Medium-Value
12502,2011-06-05 08:19:00,189,4,3021.07,0,2,0,High-Value
12504,2011-09-11 14:56:00,91,1,449.4,1,2,1,Medium-Value
12507,2011-07-07 10:20:00,157,1,46.75,1,2,1,Medium-Value
12508,2011-10-11 16:27:00,61,1,275.19,1,2,1,Medium-Value
12512,2011-04-10 14:55:00,245,2,138.03,1,2,4,Churn Risk
12516,2011-12-06 11:37:00,5,1,583.2,0,2,5,New Customers
12517,2011-11-11 14:04:00,30,4,2085.64,0,2,0,High-Value
12518,2011-12-10 10:36:00,1,3,1207.16,0,2,3,Potential
12519,2011-07-10 09:26:00,154,1,340.84,1,2,1,Medium-Value
12520,2011-11-03 11:35:00,38,1,987.42,1,2,1,Medium-Value
12523,2011-12-01 09:43:00,10,3,398.7,0,2,3,Potential
12524,2011-10-01 10:35:00,71,4,2962.6,0,2,0,High-Value
12526,2011-09-12 12:09:00,90,2,797.38,1,2,4,Churn Risk
12528,2011-08-03 11:46:00,130,2,552.64,1,2,4,Churn Risk
12530,2011-11-10 12:34:00,31,3,1244.68,0,2,0,High-Value
12532,2011-09-11 13:47:00,91,1,349.83000000000004,1,2,1,Medium-Value
12534,2011-01-08 10:26:00,337,1,1089.18,1,2,1,Medium-Value
12535,2011-09-09 08:48:00,93,2,716.35,1,2,4,Churn Risk
12536,2011-11-10 14:52:00,31,1,4279.71,0,2,-1,Noise/Outlier
12538,2011-10-11 17:16:00,61,1,363.95,1,2,1,Medium-Value
12539,2011-10-01 09:11:00,71,1,1715.85,1,2,1,Medium-Value
12540,2011-11-01 12:25:00,40,8,5047.38,0,0,0,High-Value
12541,2011-10-11 10:40:00,61,2,757.44,1,2,4,Churn Risk
12544,2011-03-11 16:15:00,275,1,372.7,1,2,1,Medium-Value
12547,2011-04-03 12:46:00,252,1,159.4,1,2,1,Medium-Value
12552,2011-01-11 10:02:00,334,1,120.0,1,2,1,Medium-Value
12553,2011-12-10 14:18:00,1,4,1356.57,0,2,3,Potential
12556,2011-11-07 13:35:00,34,1,312.9,1,2,1,Medium-Value
12557,2011-11-01 11:39:00,40,3,8183.46,0,0,0,High-Value
12558,2011-02-12 10:41:00,302,1,269.96,1,2,1,Medium-Value
12559,2011-02-02 09:49:00,312,1,75.60000000000001,1,2,1,Medium-Value
12560,2011-04-12 13:54:00,243,1,697.7,1,2,1,Medium-Value
12561,2011-10-02 11:39:00,70,1,238.85,1,2,1,Medium-Value
12562,2011-05-08 08:40:00,217,2,1304.3700000000001,1,2,4,Churn Risk
12567,2011-08-06 09:16:00,127,6,4643.61,0,2,0,High-Value
12569,2011-12-10 11:49:00,1,18,2534.95,0,0,-1,Noise/Outlier
12571,2011-10-08 12:35:00,64,1,248.35,1,2,1,Medium-Value
12572,2011-01-12 09:20:00,333,1,487.68,1,2,1,Medium-Value
12576,2011-08-02 11:31:00,131,4,1076.6299999999999,0,2,0,High-Value
12577,2011-04-11 13:24:00,244,2,461.91,1,2,4,Churn Risk
12580,2011-07-04 10:24:00,160,1,415.7,1,2,1,Medium-Value
12583,2011-12-10 14:46:00,1,9,5093.2699999999995,0,0,3,Potential
12584,2011-07-06 13:00:00,158,4,835.94,0,2,0,High-Value
12587,2011-02-12 12:47:00,302,1,144.0,1,2,1,Medium-Value
12589,2011-11-11 10:19:00,30,1,515.1800000000001,1,2,1,Medium-Value
12590,2011-12-05 14:52:00,6,2,9864.26,0,2,-1,Noise/Outlier
12592,2011-10-05 13:44:00,67,2,437.6,1,2,4,Churn Risk
12593,2011-05-05 09:29:00,220,2,321.8,1,2,4,Churn Risk
12594,2011-10-08 14:26:00,64,3,850.83,0,2,0,High-Value
12596,2011-11-04 13:22:00,37,1,269.95,1,2,1,Medium-Value
12597,2011-09-06 16:04:00,96,1,912.66,1,2,1,Medium-Value
12598,2011-11-11 12:07:00,30,4,1200.32,0,2,0,High-Value
12599,2011-11-07 15:22:00,34,4,636.3,0,2,0,High-Value
12600,2011-11-11 10:29:00,30,3,884.02,0,2,0,High-Value
12601,2011-11-01 10:38:00,40,3,325.46,1,2,0,High-Value
12602,2011-12-10 11:22:00,1,1,153.12,1,2,5,New Customers
12607,2011-10-10 16:06:00,62,1,1579.51,1,2,1,Medium-Value
12609,2011-06-06 15:31:00,188,1,512.8,1,2,1,Medium-Value
12610,2011-05-08 13:52:00,217,1,946.75,1,2,1,Medium-Value
12614,2011-07-03 10:22:00,161,1,315.6,1,2,1,Medium-Value
12615,2011-07-12 15:02:00,152,2,1079.8,1,2,4,Churn Risk
12616,2011-05-09 15:17:00,216,1,457.7,1,2,1,Medium-Value
12617,2011-10-11 14:39:00,61,1,355.53,1,2,1,Medium-Value
12619,2011-06-11 11:30:00,183,2,871.84,1,2,4,Churn Risk
12621,2011-12-05 09:41:00,6,5,3424.84,0,0,3,Potential
12623,2011-08-03 13:50:00,130,1,305.1,1,2,1,Medium-Value
12625,2011-12-05 09:54:00,6,1,967.2,0,2,5,New Customers
12626,2011-06-10 13:30:00,184,2,2440.39,0,2,4,Churn Risk
12627,2011-06-10 15:51:00,184,3,2441.14,0,2,0,High-Value
12628,2011-06-11 14:26:00,183,3,786.46,1,2,0,High-Value
12633,2011-12-10 11:40:00,1,2,434.43,0,2,2,Low-Value
12635,2011-11-09 11:04:00,32,2,1689.18,0,2,4,Churn Risk
12637,2011-09-09 11:48:00,93,4,3630.15,0,2,0,High-Value
12638,2011-06-11 13:11:00,183,1,671.69,1,2,1,Medium-Value
12643,2011-11-01 11:48:00,40,5,3094.14,0,2,0,High-Value
12644,2011-02-08 10:33:00,306,1,477.91,1,2,1,Medium-Value
12645,2011-06-11 12:38:00,183,2,893.9200000000001,1,2,4,Churn Risk
12646,2011-05-12 10:14:00,213,1,615.28,1,2,1,Medium-Value
12647,2011-11-09 13:32:00,32,7,2260.07,0,2,0,High-Value
12648,2011-08-07 11:55:00,126,1,318.05,1,2,1,Medium-Value
12649,2011-11-05 14:37:00,36,1,375.0,1,2,1,Medium-Value
12650,2011-06-12 16:34:00,182,1,314.44,1,2,1,Medium-Value
12651,2011-09-01 12:46:00,101,1,114.0,1,2,1,Medium-Value
12652,2011-12-01 15:00:00,10,1,919.98,0,2,5,New Customers
12654,2011-02-11 14:57:00,303,1,171.23000000000002,1,2,1,Medium-Value
12659,2011-10-11 11:53:00,61,1,91.68,1,2,1,Medium-Value
12662,2011-09-12 11:59:00,90,5,1618.21,0,2,0,High-Value
12664,2011-12-10 11:43:00,1,4,2294.8,0,2,3,Potential
12667,2011-12-10 17:00:00,1,1,620.13,0,2,5,New Customers
12669,2011-12-07 09:54:00,4,2,1607.73,0,2,2,Low-Value
12670,2011-10-11 15:03:00,61,2,1273.54,0,2,4,Churn Risk
12673,2011-04-12 13:55:00,243,1,389.62,1,2,1,Medium-Value
12674,2011-09-09 10:51:00,93,2,993.8000000000001,1,2,4,Churn Risk
12676,2011-08-08 10:01:00,125,3,800.15,1,2,0,High-Value
12678,2011-05-06 11:53:00,219,2,2073.52,1,2,4,Churn Risk
12679,2011-12-10 12:30:00,1,2,906.38,0,2,2,Low-Value
12680,2011-11-09 12:27:00,32,2,361.83,1,2,4,Churn Risk
12681,2011-11-07 11:39:00,34,7,5368.29,0,0,0,High-Value
12682,2011-12-08 15:22:00,3,16,7288.08,0,0,3,Potential
12683,2011-12-05 11:50:00,6,10,4300.7,0,0,3,Potential
12684,2011-10-05 12:55:00,67,3,916.26,0,2,0,High-Value
12685,2011-11-11 13:46:00,30,3,2019.54,0,2,0,High-Value
12686,2010-03-12 09:51:00,639,1,89.14,1,2,1,Medium-Value
12689,2011-04-08 10:04:00,247,1,511.03,1,2,1,Medium-Value
12691,2011-12-10 12:54:00,1,2,479.5,0,2,2,Low-Value
12693,2011-12-05 08:52:00,6,2,454.01,0,2,2,Low-Value
12694,2011-09-06 17:48:00,95,1,439.5,1,2,1,Medium-Value
12695,2011-04-10 15:02:00,245,2,248.2,1,2,4,Churn Risk
12697,2011-11-11 08:47:00,30,1,223.68,1,2,1,Medium-Value
12700,2011-08-05 16:10:00,128,4,4939.99,0,0,0,High-Value
12701,2011-11-04 13:02:00,37,1,337.08,1,2,1,Medium-Value
12704,2011-04-11 11:40:00,244,3,1120.85,1,2,0,High-Value
12705,2011-08-04 09:54:00,129,2,2319.67,0,2,4,Churn Risk
12708,2011-10-11 09:52:00,61,4,792.87,0,2,0,High-Value
12709,2011-12-10 12:01:00,1,6,4051.34,0,0,3,Potential
12710,2011-04-09 12:00:00,246,2,430.06,1,2,4,Churn Risk
12712,2011-12-01 11:46:00,10,8,2680.03,0,0,3,Potential
12713,2011-09-12 12:16:00,90,1,848.55,1,2,1,Medium-Value
12716,2011-06-12 08:55:00,182,1,375.59000000000003,1,2,1,Medium-Value
12717,2011-11-07 14:47:00,34,2,1030.98,0,2,4,Churn Risk
12719,2011-05-10 14:50:00,215,2,644.95,1,2,4,Churn Risk
12720,2011-12-07 13:32:00,4,13,3029.32,0,0,3,Potential
12721,2011-09-06 17:53:00,95,4,2026.6299999999999,0,2,0,High-Value
12722,2011-12-07 11:55:00,4,1,302.92,1,2,5,New Customers
12723,2011-06-12 10:19:00,182,3,376.69,1,2,0,High-Value
12724,2011-11-01 15:00:00,40,2,363.14,1,2,4,Churn Risk
12725,2010-03-12 15:45:00,639,1,427.8,1,2,1,Medium-Value
12726,2011-11-11 13:35:00,30,3,1363.9,0,2,0,High-Value
12727,2011-05-09 13:38:00,216,4,1903.54,0,2,0,High-Value
12728,2011-11-01 13:31:00,40,1,252.54,1,2,1,Medium-Value
12731,2011-11-05 15:07:00,36,3,2705.2,0,2,0,High-Value
12735,2011-06-01 14:26:00,193,1,319.77,1,2,1,Medium-Value
12736,2011-11-01 07:57:00,40,1,234.0,1,2,1,Medium-Value
12738,2010-02-12 18:27:00,666,1,155.35,1,2,1,Medium-Value
12739,2011-01-09 17:45:00,335,1,975.54,1,2,1,Medium-Value
12740,2011-07-10 10:44:00,154,1,427.6,1,2,1,Medium-Value
12744,2011-05-04 10:58:00,221,3,8209.58,0,0,-1,Noise/Outlier
12747,2011-07-12 14:34:00,152,5,2226.18,0,2,0,High-Value
12748,2011-12-05 18:58:00,5,106,14154.13,0,0,-1,Noise/Outlier
12749,2011-10-05 15:25:00,67,4,3518.29,0,2,0,High-Value
12750,2011-03-08 09:13:00,278,1,275.88,1,2,1,Medium-Value
12753,2011-09-02 11:21:00,100,4,12940.51,0,0,-1,Noise/Outlier
12754,2011-07-03 13:38:00,161,2,61.62,1,2,4,Churn Risk
12755,2011-04-03 12:42:00,252,2,3811.95,0,2,4,Churn Risk
12757,2011-12-05 19:02:00,5,6,3439.82,0,0,3,Potential
12758,2011-08-03 12:05:00,130,1,1570.19,1,2,1,Medium-Value
12759,2011-09-03 08:09:00,99,1,444.8,1,2,1,Medium-Value
12762,2011-02-12 10:23:00,302,1,1436.93,1,2,1,Medium-Value
12763,2010-05-12 15:46:00,578,1,320.08,1,2,1,Medium-Value
12766,2011-09-01 15:56:00,101,3,2554.2000000000003,0,2,0,High-Value
12772,2011-11-10 09:19:00,31,1,892.47,1,2,1,Medium-Value
12775,2011-03-06 07:48:00,280,2,634.25,1,2,4,Churn Risk
12778,2011-09-06 15:29:00,96,2,255.93,1,2,4,Churn Risk
12779,2011-05-04 08:43:00,221,5,2298.15,0,2,0,High-Value
12781,2011-07-10 10:37:00,154,1,277.48,1,2,1,Medium-Value
12782,2011-05-12 09:16:00,213,1,252.25,1,2,1,Medium-Value
12783,2011-07-12 15:56:00,152,2,622.84,1,2,4,Churn Risk
12785,2010-10-12 13:48:00,425,1,311.95,1,2,1,Medium-Value
12787,2011-09-09 12:24:00,93,1,186.56,1,2,1,Medium-Value
12789,2011-05-10 13:34:00,215,1,91.85,1,2,1,Medium-Value
12791,2010-01-12 11:27:00,698,1,192.60000000000002,1,2,1,Medium-Value
12793,2011-09-01 12:12:00,101,2,545.48,1,2,4,Churn Risk
12794,2011-02-09 12:01:00,305,1,317.0,1,2,1,Medium-Value
12797,2010-09-12 10:55:00,455,1,254.03,1,2,1,Medium-Value
12802,2011-06-06 09:36:00,188,1,427.58,1,2,1,Medium-Value
12808,2011-08-06 12:21:00,127,3,483.65000000000003,1,2,0,High-Value
12816,2011-05-09 12:41:00,216,1,253.55,1,2,1,Medium-Value
12817,2011-03-03 16:28:00,283,1,166.04,1,2,1,Medium-Value
12820,2011-06-12 15:12:00,182,1,210.35000000000002,1,2,1,Medium-Value
12821,2011-09-05 15:51:00,97,1,92.72,1,2,1,Medium-Value
12823,2011-04-08 17:45:00,246,1,229.5,1,2,1,Medium-Value
12824,2011-11-10 12:49:00,31,1,397.12,1,2,1,Medium-Value
12826,2011-10-11 15:37:00,61,3,577.1,0,2,0,High-Value
12827,2011-07-11 11:29:00,153,2,212.4,1,2,4,Churn Risk
12828,2011-07-12 08:45:00,152,5,907.51,0,2,0,High-Value
12829,2011-07-01 11:13:00,163,1,207.25,1,2,1,Medium-Value
12830,2011-09-09 15:02:00,93,3,2258.56,0,2,0,High-Value
12832,2011-07-11 13:30:00,153,2,383.03,1,2,4,Churn Risk
12834,2011-02-03 09:49:00,311,1,312.38,1,2,1,Medium-Value
12836,2011-11-10 15:10:00,31,3,2161.73,0,2,0,High-Value
12838,2011-06-11 12:20:00,183,2,683.13,1,2,4,Churn Risk
12839,2011-09-06 14:43:00,96,5,2203.66,0,2,0,High-Value
12840,2011-10-06 10:29:00,66,2,1296.7,0,2,4,Churn Risk
12841,2011-12-06 12:20:00,5,13,2167.8,0,0,3,Potential
12842,2011-04-02 12:36:00,253,1,310.73,1,2,1,Medium-Value
12843,2011-10-05 11:04:00,67,5,1282.36,0,2,0,High-Value
12844,2011-10-11 13:31:00,61,2,325.96000000000004,1,2,4,Churn Risk
12849,2011-08-11 13:41:00,122,1,346.39,1,2,1,Medium-Value
12851,2011-04-09 12:41:00,246,1,135.18,1,2,1,Medium-Value
12854,2011-12-04 14:17:00,7,1,420.46999999999997,1,2,5,New Customers
12855,2010-02-12 09:37:00,667,1,38.1,1,2,1,Medium-Value
12856,2011-11-11 11:06:00,30,3,870.96,0,2,0,High-Value
12857,2011-10-02 12:32:00,70,1,801.6,1,2,1,Medium-Value
12865,2011-08-08 10:11:00,125,1,981.38,1,2,1,Medium-Value
12866,2011-01-03 14:11:00,342,1,559.12,1,2,1,Medium-Value
12867,2011-09-05 15:34:00,97,2,1124.54,1,2,4,Churn Risk
12868,2011-12-01 15:25:00,10,4,1176.3400000000001,0,2,3,Potential
12872,2010-09-12 14:44:00,455,1,378.53000000000003,1,2,1,Medium-Value
12873,2011-02-03 14:58:00,311,1,374.0,1,2,1,Medium-Value
12875,2010-12-12 12:03:00,364,1,293.76000000000005,1,2,1,Medium-Value
12877,2011-07-08 11:40:00,156,4,376.56,1,2,0,High-Value
12879,2011-09-09 12:11:00,93,1,140.5,1,2,1,Medium-Value
12881,2011-09-03 11:44:00,99,1,298.0,1,2,1,Medium-Value
12882,2011-06-11 11:22:00,183,1,471.84000000000003,1,2,1,Medium-Value
12883,2011-11-09 15:18:00,32,1,291.63,1,2,1,Medium-Value
12884,2011-12-09 13:10:00,2,1,309.05,1,2,5,New Customers
12885,2011-08-08 11:45:00,125,3,1175.22,0,2,0,High-Value
12886,2011-04-05 11:21:00,250,2,1378.4,1,2,4,Churn Risk
12888,2011-09-05 16:02:00,97,1,81.36,1,2,1,Medium-Value
12891,2011-07-06 12:31:00,158,2,289.0,1,2,4,Churn Risk
12893,2011-09-11 12:34:00,91,1,188.14,1,2,1,Medium-Value
12897,2011-11-02 11:40:00,39,1,128.8,1,2,1,Medium-Value
12901,2011-11-05 14:25:00,36,6,1621.92,0,2,0,High-Value
12910,2011-12-04 10:01:00,7,2,1286.6200000000001,0,2,2,Low-Value
12912,2011-07-12 08:55:00,152,2,804.24,1,2,4,Churn Risk
12913,2011-11-02 13:54:00,39,4,1401.49,0,2,0,High-Value
12915,2010-02-12 12:33:00,667,1,199.65,1,2,1,Medium-Value
12917,2011-03-08 16:42:00,278,1,594.0,1,2,1,Medium-Value
12919,2011-12-07 17:21:00,3,3,676.82,0,2,3,Potential
12921,2011-11-05 09:36:00,36,20,7377.78,0,0,-1,Noise/Outlier
12922,2011-01-07 15:35:00,338,1,405.38,1,2,1,Medium-Value
12923,2011-06-10 16:20:00,184,1,176.97,1,2,1,Medium-Value
12924,2011-12-09 13:55:00,2,2,508.23,0,2,2,Low-Value
12925,2011-05-12 11:11:00,213,1,325.74,1,2,1,Medium-Value
12928,2011-12-04 10:45:00,7,2,980.26,0,2,2,Low-Value
12929,2011-01-02 12:08:00,343,1,117.85,1,2,1,Medium-Value
12931,2011-11-08 15:58:00,33,5,35265.76,0,0,-1,Noise/Outlier
12933,2011-01-03 11:30:00,342,1,110.75,1,2,1,Medium-Value
12935,2011-07-12 17:25:00,151,2,343.78,1,2,4,Churn Risk
12939,2011-11-03 16:43:00,38,4,6397.92,0,0,0,High-Value
12942,2010-09-12 09:34:00,455,1,258.75,1,2,1,Medium-Value
12944,2011-04-11 11:04:00,244,1,317.56,1,2,1,Medium-Value
12947,2011-10-06 16:37:00,66,4,950.12,0,2,0,High-Value
12948,2011-11-10 15:53:00,31,2,660.6700000000001,0,2,4,Churn Risk
12949,2011-09-11 11:25:00,91,5,3025.07,0,2,0,High-Value
12950,2011-07-12 13:17:00,152,2,1531.4,1,2,4,Churn Risk
12951,2011-05-04 09:09:00,221,2,467.48,1,2,4,Churn Risk
12952,2011-04-12 10:35:00,243,1,297.73,1,2,1,Medium-Value
12955,2011-08-12 16:29:00,121,5,2505.06,0,2,0,High-Value
12956,2011-06-02 16:08:00,192,1,108.07,1,2,1,Medium-Value
12957,2011-06-06 13:43:00,188,2,1000.2,1,2,4,Churn Risk
12962,2011-02-12 15:55:00,302,1,95.85000000000001,1,2,1,Medium-Value
12963,2011-01-12 12:55:00,333,2,630.45,1,2,4,Churn Risk
12965,2011-11-09 15:31:00,32,1,771.91,1,2,1,Medium-Value
12967,2010-03-12 09:49:00,639,1,1368.4,1,2,1,Medium-Value
12970,2011-02-12 14:30:00,302,2,428.44,1,2,4,Churn Risk
12971,2011-12-01 14:43:00,10,35,3877.92,0,0,-1,Noise/Outlier
12976,2011-12-05 09:55:00,6,1,738.6,0,2,5,New Customers
12977,2011-06-07 16:40:00,187,1,39.239999999999995,1,2,1,Medium-Value
12980,2011-12-01 11:53:00,10,5,4082.94,0,0,3,Potential
12981,2011-10-11 12:00:00,61,1,185.04,1,2,1,Medium-Value
12982,2011-11-04 11:51:00,37,1,390.54,1,2,1,Medium-Value
12985,2011-11-11 12:44:00,30,2,1239.38,0,2,4,Churn Risk
12989,2011-12-09 15:43:00,2,7,2961.31,0,0,3,Potential
12990,2011-08-11 13:01:00,122,3,409.5,1,2,0,High-Value
12993,2011-11-08 12:01:00,33,1,197.1,1,2,1,Medium-Value
12994,2011-11-08 17:02:00,33,2,621.82,1,2,4,Churn Risk
12997,2011-12-09 08:24:00,2,1,307.92,1,2,5,New Customers
12999,2011-08-04 10:26:00,129,1,320.28000000000003,1,2,1,Medium-Value
13000,2010-10-12 10:26:00,425,1,201.75,1,2,1,Medium-Value
13001,2011-08-06 12:40:00,127,5,3717.6800000000003,0,2,0,High-Value
13003,2011-11-07 13:06:00,34,2,89.05000000000001,1,2,4,Churn Risk
13004,2011-10-01 10:32:00,71,7,2364.39,0,2,0,High-Value
13005,2011-07-04 13:32:00,160,1,321.65,1,2,1,Medium-Value
13011,2010-02-12 17:22:00,666,1,50.550000000000004,1,2,1,Medium-Value
13012,2011-10-05 13:33:00,67,2,330.12,1,2,4,Churn Risk
13013,2011-11-05 12:13:00,36,10,4000.44,0,0,0,High-Value
13014,2011-07-11 13:22:00,153,4,1434.08,0,2,0,High-Value
13015,2011-08-04 08:20:00,129,3,979.37,0,2,0,High-Value
13016,2011-08-08 15:00:00,125,1,425.25,1,2,1,Medium-Value
13017,2011-02-12 15:53:00,302,1,204.0,1,2,1,Medium-Value
13018,2011-09-11 10:14:00,91,8,2116.4,0,2,0,High-Value
13021,2011-08-05 12:26:00,128,3,952.83,0,2,0,High-Value
13023,2011-06-10 16:27:00,184,2,689.9,1,2,4,Churn Risk
13026,2011-09-03 11:35:00,99,5,975.36,0,2,0,High-Value
13027,2011-07-07 12:04:00,157,2,1536.0,1,2,4,Churn Risk
13029,2011-09-11 09:13:00,91,1,474.29999999999995,1,2,1,Medium-Value
13030,2010-06-12 14:31:00,547,1,427.74,1,2,1,Medium-Value
13034,2010-05-12 14:52:00,578,1,165.86,1,2,1,Medium-Value
13037,2011-04-05 15:33:00,250,1,326.9,1,2,1,Medium-Value
13038,2011-09-06 10:31:00,96,1,196.66,1,2,1,Medium-Value
13040,2011-06-11 13:53:00,183,2,676.99,1,2,4,Churn Risk
13043,2011-11-03 14:52:00,38,1,516.42,1,2,1,Medium-Value
13045,2011-01-09 15:04:00,336,1,305.28000000000003,1,2,1,Medium-Value
13046,2011-09-11 08:36:00,91,1,431.59,1,2,1,Medium-Value
13047,2011-08-11 12:06:00,122,7,1697.41,0,2,0,High-Value
13049,2011-06-10 15:31:00,184,1,502.90000000000003,1,2,1,Medium-Value
13050,2011-10-08 10:12:00,64,5,1911.92,0,2,0,High-Value
13052,2011-11-05 14:12:00,36,1,348.15000000000003,1,2,1,Medium-Value
13055,2011-10-05 08:58:00,67,1,344.86,1,2,1,Medium-Value
